# Flags:
# - to do
# * to do, called by Tomb1Main
# x unused
# + fully decompiled
#
# Name                          Offset      Size        Flags

# 3dsystem/3d_gen.cpp
LaraColSwim                     0x004292C0  0x00000013  +
LaraColGlide                    ----------  ----------  +
LaraColTread                    ----------  ----------  +
LaraColDive                     ----------  ----------  +
LaraColUWDeath                  0x004292E0  0x0000005E  +
LaraSwimCollision               0x00429340  0x000000FA  +
LaraWaterCurrent                0x00429440  0x000001DB  +

# lightning.cpp
DrawLightning                   0x00429620  0x000004D1  +
InitialiseLightning             0x00429B00  0x0000007E  +
LightningControl                0x00429B80  0x000002AF  +
LightningCollision              0x00429E30  0x00000061  +
InitialiseThorsHandle           0x00429EA0  0x00000086  +
ThorsHandleControl              0x00429F30  0x000002B0  +
ThorsHandleCollision            0x0042A1F0  0x0000004B  +
ThorsHeadCollision              0x0042A240  0x00000052  +

# ???
sub_42A2A0                      0x0042A2A0  0x0000000C  x
sub_42A2B0                      0x0042A2B0  0x0000000C  x
DB_Log                          0x0042A2C0  0x00000037  +

# lot.cpp
InitialiseLOTArray              0x0042A300  0x00000053  +
DisableBaddieAI                 0x0042A360  0x00000036  +
EnableBaddieAI                  0x0042A3A0  0x000001D0  +
InitialiseSlot                  0x0042A570  0x000000FC  +
CreateZone                      0x0042A6B0  0x000000C4  +
InitialiseLOT                   0x0042A780  0x00000065  +
ClearLOT                        ----------  ----------  +

# math.cpp (3dsystem/phd_math.h)
phd_cos                         0x0042A7F0  0x0000002C  +
cosf                            0x0042A81C  0x0000001A  +
phd_sin                         0x0042A850  0x00000021  +
sinf                            0x0042A871  0x0000001A  +
phd_atan                        0x0042A8A0  0x00000055  +
phd_sqrt                        0x0042A900  0x0000003A  +

# mnsound.cpp
mn_reset_sound_effects          0x0042A940  0x000000EC  +
SoundEffect                     0x0042AA30  0x000004C2  +
mn_get_fx_slot                  0x0042AF00  0x000000CE  +
mn_reset_ambient_loudness       0x0042AFD0  0x00000030  +
mn_stop_ambient_samples         0x0042B000  0x0000007E  +
mn_update_sound_effects         0x0042B080  0x0000027D  +
mn_get_sound_params             ----------  ----------  +
StopSoundEffect                 0x0042B300  0x0000010E  +
mn_adjust_master_volume         0x0042B410  0x00000012  +
mn_start_sound_fade             ----------  ----------  x
mn_set_sound_fade_rate          ----------  ----------  x
mn_clear_fx_slot                ----------  ----------  +
mn_clear_handles                ----------  ----------  +

# moveblok.cpp
InitialiseMovableBlock          0x0042B430  0x00000030  +
MovableBlockControl             0x0042B460  0x0000014A  +
MovableBlockCollision           0x0042B5B0  0x00000208  +
TestBlockMovable                ----------  ----------  +
TestBlockPush                   0x0042B7E0  0x00000142  +
TestBlockPull                   0x0042B940  0x00000239  +
InitialiseRollingBlock          0x0042BB90  0x00000024  +
RollingBlockControl             0x0042BBC0  0x000000DA  +
AlterFloorHeight                0x0042BCA0  0x000000BE  +
DrawMovableBlock                0x0042BD60  0x00000081  +
DrawUnclippedItem               0x0042BDF0  0x00000068  +

# natla.cpp
AbortionControl                 0x0042BE60  0x0000049E  +
NatlaControl                    0x0042C330  0x0000059F  +
ControlNatlaGun                 0x0042C910  0x00000121  +
NatlaGun                        ----------  ----------  x

# objects.cpp
ShutThatDoor                    ----------  ----------  +
OpenThatDoor                    ----------  ----------  +
InitialiseDoor                  0x0042CA40  0x000004AE  +
DoorControl                     0x0042CEF0  0x0000023B  +
OnDrawBridge                    0x0042D130  0x000000B1  +
DrawBridgeFloor                 0x0042D1F0  0x0000003B  +
DrawBridgeCeiling               0x0042D230  0x0000003F  +
DrawBridgeCollision             0x0042D270  0x0000002F  +
BridgeFlatFloor                 0x0042D2A0  0x00000019  +
BridgeFlatCeiling               0x0042D2C0  0x0000001E  +
GetOffset                       ----------  ----------  +
BridgeTilt1Floor                0x0042D2E0  0x00000048  +
BridgeTilt1Ceiling              0x0042D330  0x0000004D  +
BridgeTilt2Floor                0x0042D380  0x00000047  +
BridgeTilt2Ceiling              0x0042D3D0  0x0000004C  +
CogControl                      0x0042D420  0x00000075  +
CabinControl                    0x0042D4A0  0x0000007F  +
BoatControl                     0x0042D520  0x0000005B  +
ScionControl                    ----------  ----------  +
Scion3Control                   0x0042D580  0x00000176  +
EarthQuakeControl               0x0042D700  0x0000006F  +

# option.cpp
GetScancodeName                 ----------  ----------  +
DoInventoryOptions              0x0042D770  0x00000180  +
DoPassportOption                0x0042D9C0  0x000004D0  +
DoGammaOption                   ----------  ----------  +
DoDetailOptionHW                0x0042DE90  0x00000435  +
DoDetailOption                  0x0042E2D0  0x000002E8  +
DoSoundOption                   0x0042E5C0  0x000004F2  +
DoCompassOption                 ----------  ----------  +
FlashConflicts                  ----------  ----------  +
DefaultConflict                 ----------  ----------  +
DoControlOption                 0x0042EAC0  0x0000075D  +
S_ShowControls                  0x0042F230  0x000004B1  +
S_ChangeCtrlText                ----------  ----------  +
S_RemoveCtrlText                ----------  ----------  +
S_RemoveCtrl                    ----------  ----------  +
InitRequester                   ----------  ----------  +
RemoveRequester                 ----------  ----------  +
DisplayRequester                0x0042F6F0  0x0000056B  +

# shell/output.cpp
S_InitialisePolyList            0x0042FC60  0x00000005  +
S_DumpScreen                    0x0042FC70  0x00000044  +
S_ClearScreen                   0x0042FCC0  0x00000013  +
S_InitialiseScreen              0x0042FCE0  0x00000027  +
S_OutputPolyList                0x0042FD10  0x00000018  +
S_GetObjectBounds               0x0042FD30  0x0000026C  *
S_PrintShadow                   0x0042FFA0  0x0000015B  *
S_CalculateLight                0x00430100  0x00000183  +
S_CalculateStaticLight          0x00430290  0x00000031  +
S_DrawHealthBar                 0x004302D0  0x00000180  +
S_DrawAirBar                    0x00430450  0x00000188  +
S_SetupBelowWater               0x004305E0  0x00000054  +
S_SetupAboveWater               0x00430640  0x00000019  +
AnimateTextures                 ----------  ----------  +
S_AnimateTextures               0x00430660  0x000000D3  +
S_DrawLightningSegment          0x00430740  0x00000446  +
decomp_pcx                      0x00430B90  0x00000141  +
S_DisplayPicture                0x00430CE0  0x00000094  +

# people.cpp
Targetable                      0x00430D80  0x0000007B  +
ControlGunShot                  0x00430E00  0x00000037  +
GunShot                         0x00430E40  0x00000066  +
GunHit                          0x00430EB0  0x000000ED  +
GunMiss                         0x00430FA0  0x000000E6  +
ShotLara                        ----------  ----------  +
PeopleControl                   0x00431090  0x0000049E  +
PierreControl                   0x00431550  0x000006BF  +
ApeVault                        0x00431C30  0x00000103  +
ApeControl                      0x00431D40  0x0000033F  +
InitialiseSkateKid              0x004320B0  0x00000027  +
SkateKidControl                 0x004320E0  0x00000458  +
DrawSkateKid                    0x00432550  0x0000004C  +
CowboyControl                   0x004325A0  0x000005A7  +
InitialiseBaldy                 0x00432B60  0x00000027  +
BaldyControl                    0x00432B90  0x000004CC  +

# pickup.cpp
AnimateLaraUntil                ----------  ----------  +
PickUpCollision                 0x00433080  0x000001BF  +
PickUpScionCollision            0x00433240  0x00000164  +
PickUpScion4Collision           0x004333B0  0x00000108  +
MidasOnAfterInventory           ----------  ----------  +
MidasCollision                  0x004334C0  0x00000217  +
SwitchCollision                 0x004336F0  0x0000011C  +
SwitchCollision2                0x00433810  0x000000F0  +
KeyHoleOnAfterInventory         ----------  ----------  +
KeyHoleCollision                0x00433900  0x00000227  +
PuzzleOnAfterInventory          ----------  ----------  +
PuzzleHoleCollision             0x00433B40  0x00000277  +
SwitchControl                   0x00433DE0  0x0000003D  +
SwitchTrigger                   0x00433E20  0x00000078  +
KeyTrigger                      0x00433EA0  0x00000042  +
PickupTrigger                   0x00433EF0  0x00000038  +
PickUpSaveGameCollision         ----------  ----------  +
InitialiseSaveGameItem          0x00433F30  0x0000001C  +
ControlSavegameItem             ----------  ----------  +
DrawSavegameItem                ----------  ----------  +

# rat.cpp
RatControl                      0x00433F50  0x000002A8  +
VoleControl                     0x00434210  0x000002B5  +

# savegame.cpp
ReadSGPos                       ----------  ----------  +
WriteSGPos                      ----------  ----------  +
ReadSGARM                       ----------  ----------  +
ReadSGLOT                       ----------  ----------  +
ReadSGLara                      ----------  ----------  +
WriteSGARM                      ----------  ----------  +
WriteSGLOT                      ----------  ----------  +
WriteSGLara                     ----------  ----------  +
InitialiseStartInfo             0x004344D0  0x00000042  +
ModifyStartInfo                 0x00434520  0x000000BF  +
CreateStartInfo                 0x004345E0  0x00000139  +
CreateSaveGameInfo              0x00434720  0x00000866  +
ExtractSaveGameInfo             0x00434F90  0x00000971  +
ResetSG                         ----------  ----------  +
WriteSG                         ----------  ----------  +
ReadSG                          ----------  ----------  +

# ???
S_DrawSprite                    0x00435910  0x0000025E  +
S_DrawSpriteRel                 0x00435B70  0x00000207  +
S_DrawUISprite                  0x00435D80  0x0000014D  +
ins_room_sprite_Sorted          0x00435ED0  0x000001CD  -
draw_scaled_spriteC             0x004360A0  0x000001FB  x

# setup.cpp
InitialiseLevel                 0x004362A0  0x00000119  +
InitialiseGameFlags             ----------  ----------  +
InitialiseLevelFlags            0x004363C0  0x00000018  +
BaddyObjects                    0x004363E0  0x00000C2F  +
TrapObjects                     0x00437010  0x00000356  +
ObjectObjects                   0x00437370  0x000006D3  +

# ???
InitialiseObjects               0x00437A50  0x00000063  +
sub_437AC0                      0x00437AC0  0x00000006  x
WinSpinMessageLoop              0x00437AD0  0x00000029  +
WinInReadJoystick               0x00437B00  0x00000070  x
OnKeyPress                      0x00437B70  0x00000045  +
KeyGet                          0x00437BC0  0x00000003  +
KeyClearBuffer                  0x00437BD0  0x00000029  +
SoundLoadSamples                0x00437C00  0x000000A5  +
SoundLoadSample                 0x00437CB0  0x0000014B  +
SoundIsInitialised              0x00437E00  0x0000000D  +
SoundPlaySample                 0x00437E10  0x000000C3  +
SoundSampleIsPlaying            0x00437EE0  0x00000028  +
SoundStopSample                 0x00437F10  0x00000020  +
S_CDVolume                      0x00437F30  0x00000001  +
TestCdDrive                     0x00437F40  0x00000039  x
CDStop                          0x00437F80  0x00000026  +
CDPlay                          0x00437FB0  0x000000F5  +
S_CDLoop                        0x004380B0  0x0000000B  +
CDPlayLooped                    0x004380C0  0x00000018  +
sub_4380E0                      0x004380E0  0x00000255  +
TerminateGameWithMsg            0x00438340  0x0000003B  +
FileLoad                        0x00438390  0x00000080  +
GameMain                        0x00438410  0x0000050A  +
CheckCheatMode                  0x00438920  0x00000213  +
S_WriteSettings                 0x00438B60  0x00000090  +

# shell/sndpc.cpp
S_SoundPlaySample               0x00438BF0  0x0000004B  +
S_SoundPlaySampleLooped         0x00438C40  0x00000051  +
S_SoundSampleIsPlaying          0x00438CA0  0x00000015  +
S_SoundStopAllSamples           0x00438CC0  0x0000000F  +
S_SoundStopSample               0x00438CD0  0x0000001B  +
S_SoundSetPanAndVolume          0x00438CF0  0x00000044  +
S_CDPlay                        0x00438D40  0x000000FD  +
S_CDStop                        0x00438E40  0x00000043  +
SampleLoader                    0x00438E90  0x00000005  +
LoadSamples                     0x00438EA0  0x00000189  +
S_StartSyncedAudio              0x00439030  0x000000FC  +

# sphere.cpp
TestCollision                   0x00439130  0x00000128  +
GetSpheres                      0x00439260  0x000002EF  +
GetJointAbsPosition             0x00439550  0x0000019C  +
BaddieBiteEffect                0x004396F0  0x0000005D  +

# text.cpp
T_InitPrint                     0x00439750  0x00000022  +
T_Print                         0x00439780  0x000000E0  +
T_ChangeText                    0x00439860  0x0000003F  +
T_SetFlags                      ----------  ----------  x
T_SetBgndFlags                  ----------  ----------  x
T_SetOutlFlags                  ----------  ----------  x
T_SetScale                      0x004398A0  0x00000013  +
T_LetterSpacing                 ----------  ----------  x
T_WordSpacing                   ----------  ----------  x
T_FlashText                     0x004398C0  0x00000027  +
T_AddBackground                 0x004398F0  0x00000052  +
T_RemoveBackground              0x00439950  0x0000000C  +
T_AddOutline                    0x00439960  0x00000025  +
T_RemoveOutline                 0x00439990  0x0000000C  +
T_CentreH                       0x004399A0  0x0000001A  +
T_CentreV                       0x004399C0  0x0000001A  +
T_RightAlign                    0x004399E0  0x0000001A  +
T_BottomAlign                   0x00439A00  0x0000001A  +
T_GetTextWidth                  0x00439A20  0x000000AC  +
T_RemovePrint                   0x00439AD0  0x00000025  +
T_RemoveAllPrints               ----------  ----------  +
T_GetStringLen                  ----------  ----------  +
T_DrawText                      0x00439B00  0x00000153  +
T_DrawThisText                  0x00439C60  0x000003A2  +

# traps.cpp
InitialiseRollingBall           0x0043A010  0x00000040  +
RollingBallControl              0x0043A050  0x0000025D  +
RollingBallCollision            0x0043A2B0  0x00000264  +
SpikeCollision                  0x0043A520  0x0000014E  +
TrapDoorControl                 0x0043A670  0x00000053  +
TrapDoorFloor                   0x0043A6D0  0x00000042  +
TrapDoorCeiling                 0x0043A720  0x00000046  +
OnTrapDoor                      0x0043A770  0x000000A3  +
PendulumControl                 0x0043A820  0x0000014B  +
FallingBlockControl             0x0043A970  0x000000F9  +
FallingBlockFloor               0x0043AA70  0x00000035  +
FallingBlockCeiling             0x0043AAB0  0x00000034  +
TeethTrapControl                0x0043AAF0  0x000000C1  +
FallingCeilingControl           0x0043ABC0  0x0000009E  +
InitialiseDamoclesSword         0x0043AC60  0x0000003B  +
DamoclesSwordControl            0x0043ACA0  0x00000129  +
DamoclesSwordCollision          0x0043ADD0  0x000000E8  +
DartEmitterControl              0x0043AEC0  0x0000019B  +
DartsControl                    0x0043B060  0x00000140  +
DartEffectControl               0x0043B1A0  0x0000004C  +
FlameEmitterControl             0x0043B1F0  0x000000A3  +
FlameControl                    0x0043B2A0  0x00000185  +
LavaBurn                        0x0043B430  0x000000E8  +
LavaEmitterControl              0x0043B520  0x000000C7  +
LavaControl                     0x0043B5F0  0x00000119  +
LavaWedgeControl                0x0043B710  0x00000139  +

# warrior.cpp
CentaurControl                  0x0043B850  0x000002B9  +
InitialiseWarrior2              0x0043BB30  0x00000028  +
FlyerControl                    0x0043BB60  0x00000625  +
ControlMissile                  0x0043C1C0  0x0000026D  +
ShootAtLara                     ----------  ----------  +
ShardGun                        0x0043C430  0x00000110  +
RocketGun                       0x0043C540  0x00000110  +
InitialiseMummy                 0x0043C650  0x0000003A  +
MummyControl                    0x0043C690  0x000000A0  +
ExplodingDeath                  0x0043C730  0x0000039A  +
ControlBodyPart                 0x0043CAD0  0x00000195  +
InitialisePod                   0x0043CC70  0x000000DC  +
PodControl                      0x0043CD70  0x00000118  +
InitialiseStatue                0x0043CE90  0x000000E5  +
StatueControl                   0x0043CF80  0x000000E1  +

# ???
InitDirectDraw                  0x0043D070  0x0000049A  +
TerminateGame                   0x0043D510  0x000000DA  +
sub_43D5F0                      0x0043D5F0  0x00000176  +
ShowFatalError                  0x0043D770  0x00000147  +
KeyboardHook                    0x0043D8C0  0x00000077  +
sub_43D940                      0x0043D940  0x00000136  +
WinMain                         0x0043DA80  0x0000037D  +
WndProc                         0x0043DE00  0x0000011F  +

# wolf.cpp
InitialiseWolf                  0x0043DF20  0x00000024  +
WolfControl                     0x0043DF50  0x0000040B  +
LionControl                     0x0043E390  0x000002BD  +

# ???
sub_43E670                      0x0043E670  0x00000011  x
sub_43E681                      0x0043E681  0x000000CC  x
sub_43E74D                      0x0043E74D  0x0000015F  x
sub_43E8AC                      0x0043E8AC  0x00000155  x
phd_PushMatrix                  0x0043EA01  0x00000020  +
phd_PushUnitMatrix              0x0043EA21  0x00000035  +
flatA                           0x0043EA80  0x00000064  x
transA                          0x0043EAE4  0x00000139  x
gourA                           0x0043EC1D  0x00000185  x
gtmapA                          0x0043EDA2  0x00000311  x
wgtmapA                         0x0043F0B3  0x00000355  x
ATI3DCIF_NullSub                0x00450500  0x00000006  +
InitATI3DCIF                    0x00450510  0x00000296  +
ATI3DCIF_GetInfo                0x004507B0  0x0000000E  +
ATI3DCIF_TextureReg             0x004507C0  0x00000013  +
ATI3DCIF_TextureUnreg           0x004507E0  0x0000000E  +
ATI3DCIF_TexturePaletteCreate   0x004507F0  0x00000018  +
ATI3DCIF_TexturePaletteDestroy  0x00450810  0x0000000E  +
ATI3DCIF_ContextCreate          0x00450820  0x00000006  +
ATI3DCIF_ContextDestroy         0x00450830  0x0000000E  +
ATI3DCIF_ContextSetState        0x00450840  0x00000018  +
ATI3DCIF_RenderBegin            0x00450860  0x0000000E  +
ATI3DCIF_RenderEnd              0x00450870  0x00000006  +
ATI3DCIF_RenderPrimStrip        0x00450880  0x00000013  +
ATI3DCIF_RenderPrimList         0x004508A0  0x00000013  +
ShutdownATI3DCIF                0x004508C0  0x00000056  +
